ayah_no_quran,surah_no,ayah_no_surah,tafsir,arabic,text
369,3,76,qushairi,And of the people of the scriptures is he who if you trust him with a hundredweight he will return it to you; and of them is he who if you trust him with one dinar will not return it to you; unless you keep standing over him. That is because they say “We have no duty toward the Gentiles. They speak falsehood against God while they are aware. He relates that [the people of the scripture] notwithstanding their error and disbelief vary in their moral qualities. All of them have broken the trust amāna of the religion dīn but among them are those who have regard for proper [human] interactions. Even though they interact with sincerity it will not benefit them in receiving reward but it will benefit them in lessening [their] punishment since disbelievers are held accountable in the details of the laws. If in their disbelief they sinned less they will suf- fer less punishment than those who have lost the most even though their punishment will also be in perpetuity. Then He explained that the judgment is not theirs so that when they say “We have no duty toward the Gentiles” the situation is not as they would have it nor will these words benefit them. Rather the judgment belongs to God سبحانه.,{ بَلَىٰ مَنْ أَوْفَىٰ بِعَهْدِهِ وَاتَّقَى فَإِنَّ اللَّهَ يُحِبُّ الْمُتَّقِينَ }
370,3,77,qushairi,Nay but whoever fulfils his covenant and has fear for truly God loves the God-fearing. Those who hold to the covenant are deserving of being united in friendship honor and the garden. Those who are in error are deserving of aversion ignominy and shame.,{ إِنَّ ٱلَّذِينَ يَشْتَرُونَ بِعَهْدِ ٱللَّهِ وَأَيْمَانِهِمْ ثَمَناً قَلِيلاً أُوْلَـٰئِكَ لاَ خَلاَقَ لَهُمْ فِي ٱلآخِرَةِ وَلاَ يُكَلِّمُهُمُ ٱللَّهُ وَلاَ يَنظُرُ إِلَيْهِمْ يَوْمَ ٱلْقِيَامَةِ وَلاَ يُزَكِّيهِمْ وَلَهُمْ عَذَابٌ أَلِيمٌ }
371,3,78,qushairi,Those that sell God's covenant and their own oaths for a small price there shall be no share for them in the hereafter; and God shall not speak to them nor look upon them on the Day of Resurrection nor will He purify them and theirs will be a painful chastisement. Those who prefer their caprice hawāhum over their final outcome ʿuqbāhum and have given priority to their desires munāhum over har- monious agreement with their Protector mawlāhum will have no share in the hereafter. Because they have chosen to seek pleasure in the present they have lost in the two abodes and they remain apart from the Real. The pleasure they sought in worldly things ḥaẓẓ has brought upon them all kinds of tribulations but they are not aware of what has happened to them: God shall not speak to them nor look upon them on the Day of Resurrection nor will He purify them. Moreover He will cause them to remain in the punishment beyond the count of time.,{ وَإِنَّ مِنْهُمْ لَفَرِيقاً يَلْوُونَ أَلْسِنَتَهُمْ بِٱلْكِتَابِ لِتَحْسَبُوهُ مِنَ ٱلْكِتَابِ وَمَا هُوَ مِنَ الْكِتَابِ وَيَقُولُونَ هُوَ مِنْ عِندِ اللَّهِ وَمَا هُوَ مِنْ عِندِ ٱللَّهِ وَيَقُولُونَ عَلَى ٱللَّهِ ٱلْكَذِبَ وَهُمْ يَعْلَمُونَ }
372,3,79,qushairi,And there is a group of them who twist their tongues with the Book so that you may suppose it as part of the Book; yet it is not part of the Book; and they say “It is from God” yet it is not from God and they speak falsehood against God while they know. This verse alludes to those who are false in their claims on this path Ṭarīqa. They embellish what they say and let loose their tongues concerning what their hearts have no information or verification about. In this they deceive the foolish ordinary people and novices. They imagine that they have attained realization of what they say. In describing them God most high said so that you might suppose it is as part of the Book; yet it is not part of the Book. In a similar manner the lords of deception and fraud direct their talk to the weak so that the secrets of the people of realities ahl al-ḥaqāÌiq are exposed before them. God most high said and they speak falsehood against God while they know that is they know that they are speaking falsely. Thus the people of falsehood and deception on this way Ṭarīqa speak from hearts qulūb that are ruined and innermost selves asrār that are veiled. We seek refuge in God from deserving wrath.,{ مَا كَانَ لِبَشَرٍ أَن يُؤْتِيهُ ٱللَّهُ ٱلْكِتَٰبَ وَٱلْحُكْمَ وَٱلنُّبُوَّةَ ثُمَّ يَقُولَ لِلنَّاسِ كُونُواْ عِبَاداً لِّي مِن دُونِ ٱللَّهِ وَلَـٰكِن كُونُواْ رَبَّـٰنِيِّينَ بِمَا كُنتُمْ تُعَلِّمُونَ ٱلْكِتَٰبَ وَبِمَا كُنْتُمْ تَدْرُسُونَ }
373,3,80,qushairi,It belongs not to any mortal that God should give him the Book the judgment prophethood then that he should say to men “Be servants to me instead of God.” Rather “Be masters by virtue of what you know of the Book and in what you study.” That is “It is not a quality of anyone whom We have chosen for prophet- hood or selected for friendship walāya to call created beings to himself or to teach anything affirming himself or his worldly situation because His سبحانه choosing them for prophethood includes protecting them from what is not permissible. To allow that as an attribute of theirs would be incompatible with their state. Rather the messengers and the friends have called created beings to God سبحانه وتعالى and this is the meaning of God most high's words Rather “Be masters” which is to say that He directs them only to be masters rabbāniyyūn to created beings. [The word] rabbānī is related to [the word] “lord” or “master” rabb just as it is said “so and so is bull- necked” raqabānī or “full of life” ḥayyānī and the like. They are those who have knowledge of God who are forbearing for the sake of God and stand firm through God in their annihilation from anything other than God. With their worldly concerns withering away they become immersed in the realities of His existence rather than their sensory percep- tion of their own states. They speak hear and see by means of God and so they are effaced from what is other than God. It is said that the master rabbānī is one who has had the shadow of his lower self nafs lifted from him and he subsists in the shelter of God's سبحانه shadow. It is said the master is one who does not affirm anything other than his Lord as one; he does not acknowledge even in the slightest way any efface- ment or affirmation [in creation] as belonging to anything other than Him or coming from anything other than Him. It is said that the master is he who is obliterated maḥq in His سبحانه existence and effaced maḥw in witnessing Him so the One who stands in for him is other than him and the One who acts on his account is other than him.,{ وَلاَ يَأْمُرَكُمْ أَن تَتَّخِذُواْ ٱلْمَلاَئِكَةَ وَٱلنَّبِيِّيْنَ أَرْبَاباً أَيَأْمُرُكُم بِٱلْكُفْرِ بَعْدَ إِذْ أَنْتُمْ مُّسْلِمُونَ }
374,3,81,qushairi,He would never order you to take the angels and the prophets as lords. Would He order you to disbelieve after you have submittedḍ That is “do not attribute to them so much as an atom in the establishment of good and evil ithbāt al-khayr wa-l-sharr.” It is said that He is informing you of the boundary of human nature ḥadd al-bashariyya and the truth of lordship ḥaqq al-rubūbiyya. It is said that He orders you to respect tawqīr them with regard to the command and the law sharīʿa but to disdain taḥqīr the worth of cre- ated things in comparison to lordship rubūbiyya. Would He order you to disbelieve after you have submittedḍ “Would He order you to affirm ithbāt created things after bearing witness shuhūd to the Realḍ” It is said: “Would He order you to look to outward appearances ashkāl and to attribute events to simulacra amthāl after the lights of unity tawḥīd have appeared in your innermost selves and after the suns of singular devotion tafrīd have arisen in your heartsḍ”,{ وَإِذْ أَخَذَ ٱللَّهُ مِيثَاقَ ٱلنَّبِيِّيْنَ لَمَآ آتَيْتُكُم مِّن كِتَابٍ وَحِكْمَةٍ ثُمَّ جَآءَكُمْ رَسُولٌ مُّصَدِّقٌ لِّمَا مَعَكُمْ لَتُؤْمِنُنَّ بِهِ وَلَتَنصُرُنَّهُ قَالَ أَأَقْرَرْتُمْ وَأَخَذْتُمْ عَلَىٰ ذٰلِكُمْ إِصْرِي قَالُوۤاْ أَقْرَرْنَا قَالَ فَٱشْهَدُواْ وَأَنَاْ مَعَكُمْ مِّنَ ٱلشَّاهِدِينَ }
375,3,82,qushairi,And when God made a covenant with the prophets: “What I have given you of the Book and wisdom; then there shall come to you a messenger con- firming what is with you-you shall believe in him and you shall help him.” He said to them “do you affirmḍ And do you take My load on you on that conditionḍ” They said “We affirm.” He said “Then bear witness and I shall be with you among the witnesses.” God made a covenant regarding Muḥammad ﷺ [that was] binding on all the [other] prophets عليه السلام just as He made a covenant with them to agree to His سبحانه lordship. This is the utmost honoring of the Messenger ﷺ since He connected [Muḥammad's] name with His own and affirmed his worth just as He affirmed His own. So [Muḥammad] is singular in rank among all people and [God] has eased the way for all to know His majesty through the miracle that appeared to [Muḥammad].,{ فَمَنْ تَوَلَّىٰ بَعْدَ ذٰلِكَ فَأُوْلَـٰئِكَ هُمُ ٱلْفَاسِقُونَ }
376,3,83,qushairi,Then whoever turns his back after that they are the wicked. This alludes to whoever abandons [the Prophet's] way sunna or wan- ders [away] from following his path Ṭarīqa after the appearance of [the Prophet's] evidence and the clarity of his miracle. They are those whose condition has become corrupted. They have become deserving of wrath because of their denial and the breaking of their attachment to the divine solicitude.,{ أَفَغَيْرَ دِينِ ٱللَّهِ يَبْغُونَ وَلَهُ أَسْلَمَ مَن فِي ٱلسَّمَٰوَٰتِ وَٱلأَرْضِ طَوْعاً وَكَرْهاً وَإِلَيْهِ يُرْجَعُونَ }
377,3,84,qushairi,What! Do they desire other than God's religion when to Him has sub- mitted whoever is in the heavens and the earth willing or unwillingly and to Him they shall be returnedḍ Anyone who pays attention to what is not real ghayr al-ḥaqīqa or looks to what is other than Him in imagining divinity ilāhiyya is like one who sees a mirage he thinks is water māÌ but when he comes to it he finds only dust habāÌ. The errors of mere suppositions cut one off and confuse; those who descend into them have entered a desolate wadi. To Him has submitted whoever is in the heavens and the earth willingly because of the lights of divine self-disclosure coming down continually to their innermost selves or unwillingly because of the flow of the divine decree overpowering them.,{ قُلْ آمَنَّا بِٱللَّهِ وَمَآ أُنزِلَ عَلَيْنَا وَمَآ أُنزِلَ عَلَىٰ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ وَيَعْقُوبَ وَٱلأَسْبَاطِ وَمَا أُوتِيَ مُوسَىٰ وَعِيسَىٰ وَٱلنَّبِيُّونَ مِن رَّبِّهِمْ لاَ نُفَرِّقُ بَيْنَ أَحَدٍ مِّنْهُمْ وَنَحْنُ لَهُ مُسْلِمُونَ }
378,3,85,qushairi,Say: “We believe in God and that which has been revealed to us and that which has been revealed to Abraham and Ishmael and Isaac and Jacob and the tribes; and in that which was given to Moses and Jesus and the prophets from their Lord; we make no division between any of them; and to Him we submit.” We believe in God not our lower selves nor our strength or our power. We believe through God in that which has been revealed to us and through God سبحانه we make no division between any of them-not through our own strength choice effort or acquisition. If He had not taught us who He is we would never have known-for otherwise how could we have learned thisḍ,{ وَمَن يَبْتَغِ غَيْرَ ٱلإِسْلاَمِ دِيناً فَلَنْ يُقْبَلَ مِنْهُ وَهُوَ فِي ٱلآخِرَةِ مِنَ ٱلْخَاسِرِينَ }
379,3,86,qushairi,Whoever desires a religion other than Islam it shall not be accepted from him and in the hereafter he shall be among the losers. Those who make their way without being extinguished under the flow of His decree-their feet will slip in the bottomless ravine of errors. It is said that whoever seeks to gain favor with Him without clinging to [Islam] his loss will be greater than his gain. It is said that whoever is not annihilated from witnessing everything will not reach the One through whom everything is. It is said that whoever does not walk under the banner of MuṣṬafā ﷺ the one who is exalted in his rank sublime in his attributes-nothing not even so much as an atom will be accepted from him.,{ كَيْفَ يَهْدِي ٱللَّهُ قَوْماً كَفَرُواْ بَعْدَ إِيمَانِهِمْ وَشَهِدُوۤاْ أَنَّ ٱلرَّسُولَ حَقٌّ وَجَآءَهُمُ ٱلْبَيِّنَاتُ وَٱللَّهُ لاَ يَهْدِي ٱلْقَوْمَ ٱلظَّالِمِينَ }
380,3,87,qushairi,How shall God guide a people who have disbelieved after their belief and bore witness that the Messenger is true and after the clear signs had come to themḍ God guides not the evildoing folk. Those whom He made unsuitable for the communion [of lovers] in His prior decree-how shall He draw them near to Him on the carpet of service through His favor nowḍ It is said [with regard to] those whom He made far removed in the pre- eternal decree-when would He bring them nearer to sincerity in [their] actionsḍ God prevails over His affair.,{ أُوْلَـٰئِكَ جَزَآؤُهُمْ أَنَّ عَلَيْهِمْ لَعْنَةَ ٱللَّهِ وَٱلْمَلاۤئِكَةِ وَٱلنَّاسِ أَجْمَعِينَ }
381,3,88,qushairi,Those-their requital is that there shall rest on them the curse of God and of the angels and of men altogether. Those-their state in the end is the same as it was from His decree in the beginning of their affair. The beginning for them is fate's rejection radd al-qisma [of them] their middle part is being turned away from service al-ṣaddu ʿan al-khidma and then finally [their] outcome is banishment and abasement al-Ṭard wa-l-madhalla.,{ خَالِدِينَ فِيهَا لاَ يُخَفَّفُ عَنْهُمُ ٱلْعَذَابُ وَلاَ هُمْ يُنظَرُونَ }
382,3,89,qushairi,Abiding therein the chastisement shall not be lightened for them and they shall not be reprieved. Abiding in that abasement [their] punishment will not abate for even a moment lā yaftur ʿanhum al-ʿadhāb laḥẓatan nor will the separation be lightened for them for even an hour lā yukhaffafu dūnihim al-firāq sāʿatan.,{ إِلاَّ ٱلَّذِينَ تَابُواْ مِن بَعْدِ ذٰلِكَ وَأَصْلَحُواْ فَإِنَّ الله غَفُورٌ رَّحِيمٌ }
383,3,90,qushairi,But those who repent thereafter and make amends then truly God is Forgiving Merciful. [Those who repent] are those whom mercy reaches. They were not among the group [distanced by the prior decree] although people imagined them to be part of it.,{ إِنَّ ٱلَّذِينَ كَفَرُواْ بَعْدَ إِيمَانِهِمْ ثُمَّ ٱزْدَادُواْ كُفْراً لَّن تُقْبَلَ تَوْبَتُهُمْ وَأُوْلَـٰئِكَ هُمُ ٱلضَّآلُّونَ }
384,3,91,qushairi,Surely those who disbelieve after they have believed and then increase in unbelief their repentance shall not be accepted; those are the ones who go astray. This alludes to those who return to the states of the people of habit ahl al-ʿāda after having traveled the path of spiritual desire Ṭarīq al-irāda. They prefer this world and to submit to their whims over seeking the Real سبحانه وتعالى. Then they renounce the people of the path ahl al-Ṭarīqa and become ever more alone in their [inner] darknesses. Their repentance shall not be accepted; those are the ones who go astray from the path of the Real for trust amāna cannot be regained once treachery khiyāna has been displayed. As the days pass their punishment is the increasing estrange- ment of [their] hearts from the path and they are not distressed by the felicitous state that has slipped away from them. If they had persevered their repentance would have been accepted but the Real سبحانه follows His way sunna with those who are listless on this path when they revert to habitual states aḥwāl al-ʿāda and do not feel regret for the moments that have passed away from them. God most high said “And We shall confound their hearts and eyes; just as they did not believe in it the first time” [6:110]. The apostate from Islam is a more powerful enemy to Muslims than the original disbeliever. Likewise the one who reverts from this path is more powerful in rejecting it and more oppositional to its people than those who were always alien to it.,{ إِنَّ الَّذِينَ كَفَرُواْ وَمَاتُواْ وَهُمْ كُفَّارٌ فَلَن يُقْبَلَ مِنْ أَحَدِهِم مِّلْءُ ٱلأَرْضِ ذَهَباً وَلَوِ ٱفْتَدَىٰ بِهِ أُوْلَـٰئِكَ لَهُمْ عَذَابٌ أَلِيمٌ وَمَا لَهُمْ مِّن نَّاصِرِينَ }
385,3,92,qushairi,Surely those who disbelieve and die disbelieving the whole earth full of gold shall not be accepted from any one of them if he would ransom himself thereby; for them awaits a painful chastisement and they shall have no helpers. This alludes to the one who dies after becoming listless. Even if he had a beautiful beginning he will not be gathered in the hereafter with the people of this story ahl hādhi al-qiṣṣa even if a thousand of those with deeper knowledge were to intercede for him. Indeed the perfection of the ruse with him is that his image will be cast onto someone else in the hereafter so that his acquaintances among the people of deeper knowledge ahl al-maʿrifa will think that it is him but it will not occur to anyone that he should intercede for him.,{ لَن تَنَالُواْ ٱلْبِرَّ حَتَّىٰ تُنْفِقُواْ مِمَّا تُحِبُّونَ وَمَا تُنْفِقُواْ مِن شَيْءٍ فَإِنَّ ٱللَّهَ بِهِ عَلِيمٌ }
386,3,93,qushairi,You will not attain piety birr until you expend of what mimmā = min mā you love; and whatever thing you expend God knows of it. When the object of seeking is piety and goodness birr [the preposition] min is used which is [the particle of speech] for dividing something into portions. He said “of what mimmā = min mā you love.” Whoever desires piety and goodness birr should expend some portion of what he loves while whoever desires the One who is All-Goodness al-bārr should expend everything he loves. Whoever expends what he loves in this world will find what he seeks from the Real most high. Whoever is attached to the fortunes of the lower self man kāna marbūṬan bi-ḥuẓūẓi nafsihi will not find fortune in nearness to his Lord lam yaḥaẓẓu bi-qurbi rabbihi. It is said that if you can only attain piety and goodness birr by expend- ing what you love how will you ever reach the One who is All-Goodness al-bārr so long as you prefer your worldly fortunes to Himḍ And whatever thing you expend God knows of it. There are those who expend looking for reward and compensation those who expend looking to defend themselves from affliction and tribulations and those who expend content with His knowing. One of them said: He wishes to walk in a weak way so that she might when she hears of his suffering send a message to him. He trembles because of what has become known in seeking the sublime that his qualities might be mentioned one day before Salmā.,{ كُلُّ ٱلطَّعَامِ كَانَ حِـلاًّ لِّبَنِيۤ إِسْرَائِيلَ إِلاَّ مَا حَرَّمَ إِسْرَائِيلُ عَلَىٰ نَفْسِهِ مِن قَبْلِ أَن تُنَزَّلَ ٱلتَّوْرَاةُ قُلْ فَأْتُواْ بِٱلتَّوْرَاةِ فَٱتْلُوهَا إِن كُنتُمْ صَادِقِينَ } * { فَمَنِ ٱفْتَرَىٰ عَلَى ٱللَّهِ ٱلْكَذِبَ مِن بَعْدِ ذَلِكَ فَأُوْلَـٰئِكَ هُمُ ٱلظَّالِمُونَ }
387,3,94,qushairi,All food was lawful to the children of Israel save what Israel forbade for himself before the Torah was revealed. Say: “Bring the Torah now and recite it if you are truthful.” Whoever invents falsehood against God after that those are the evildoers. [God] does not declare things permissible or prohibited in their original state; in [this state] there is no divine ordinance ḥadd regarding them. That is a liberality and kindness from the Real سبحانه [and this state exists] until such a [time] as a command or a law comes regarding it. God سبحانه has eased the precepts of religious obligation aḥkām al-taklīf for advanced disciples ahl al-nihāya. Their way is to adopt what is easiest in order to perfect what comes to them from the precepts of the hearts aḥkām al-qulūb-surely the difficulties made incumbent on their hearts are harder for them. As for novices ahl al-bidāya the affair is made difficult for them with tasks and litanies-their way is to adopt what is more onerous and difficult [in these areas] so as to empty their hearts of thoughts. Whoever thinks otherwise is in error. This verse also alludes in His saying “Whoever invents falsehood against God” to the states of the people of false claims and errors. They absolve themselves and attribute to God سبحانه their false notions hawājis but God is free of these. It is a rare servant who can distinguish between [true] incoming thoughts khawāṬir and false notions hawājis.,{ كُلُّ ٱلطَّعَامِ كَانَ حِـلاًّ لِّبَنِيۤ إِسْرَائِيلَ إِلاَّ مَا حَرَّمَ إِسْرَائِيلُ عَلَىٰ نَفْسِهِ مِن قَبْلِ أَن تُنَزَّلَ ٱلتَّوْرَاةُ قُلْ فَأْتُواْ بِٱلتَّوْرَاةِ فَٱتْلُوهَا إِن كُنتُمْ صَادِقِينَ } * { فَمَنِ ٱفْتَرَىٰ عَلَى ٱللَّهِ ٱلْكَذِبَ مِن بَعْدِ ذَلِكَ فَأُوْلَـٰئِكَ هُمُ ٱلظَّالِمُونَ }
388,3,95,qushairi,All food was lawful to the children of Israel save what Israel forbade for himself before the Torah was revealed. Say: “Bring the Torah now and recite it if you are truthful.” Whoever invents falsehood against God after that those are the evildoers. [God] does not declare things permissible or prohibited in their original state; in [this state] there is no divine ordinance ḥadd regarding them. That is a liberality and kindness from the Real سبحانه [and this state exists] until such a [time] as a command or a law comes regarding it. God سبحانه has eased the precepts of religious obligation aḥkām al-taklīf for advanced disciples ahl al-nihāya. Their way is to adopt what is easiest in order to perfect what comes to them from the precepts of the hearts aḥkām al-qulūb-surely the difficulties made incumbent on their hearts are harder for them. As for novices ahl al-bidāya the affair is made difficult for them with tasks and litanies-their way is to adopt what is more onerous and difficult [in these areas] so as to empty their hearts of thoughts. Whoever thinks otherwise is in error. This verse also alludes in His saying “Whoever invents falsehood against God” to the states of the people of false claims and errors. They absolve themselves and attribute to God سبحانه their false notions hawājis but God is free of these. It is a rare servant who can distinguish between [true] incoming thoughts khawāṬir and false notions hawājis.,{ قُلْ صَدَقَ ٱللَّهُ فَٱتَّبِعُواْ مِلَّةَ إِبْرَاهِيمَ حَنِيفاً وَمَا كَانَ مِنَ ٱلْمُشْرِكِينَ }
389,3,96,qushairi,Say: “God has spoken the truth therefore follow the creed of Abraham a ḥanīf and he was not an idolater.” The creed milla of Abraham was complete abandonment to God al-khurūju ilā Allāh bi-l-kulliya and surrender to His decree without hold- ing back in any way wa-l-taslīmu li-ḥukmihi min ghayri an tabqā baqiyya. In truth to affirm ithbāt anything [other than God] in accounting for what comes into being is idolatry shirk.,{ إِنَّ أَوَّلَ بَيْتٍ وُضِعَ لِلنَّاسِ لَلَّذِي بِبَكَّةَ مُبَارَكاً وَهُدًى لِّلْعَالَمِينَ } * { فِيهِ ءَايَٰتٌ بَيِّنَـٰتٌ مَّقَامُ إِبْرَٰهِيمَ وَمَن دَخَلَهُ كَانَ آمِناً وَللَّهِ عَلَى ٱلنَّاسِ حِجُّ ٱلْبَيْتِ مَنِ ٱسْتَطَاعَ إِلَيْهِ سَبِيلاً وَمَن كَفَرَ فَإِنَّ ٱلله غَنِيٌّ عَنِ ٱلْعَٰلَمِينَ }
390,3,97,qushairi,The first house established for the people was that at Bakka a blessed place and a guidance to all the worlds. Therein are clear signs the station of Abraham; and whoever enters it is secure. It is the duty of people toward God to make the pilgrimage to the House if he is able to make his way there. As for the one who disbelieves God is independent of all the worlds. The House is a bit of stone ḥajara and the servant is a bit of mud madara. The bit of mud is bonded to the bit of stone rabaṬa al-madara bi-l-ḥajara so that mud madar is with stone ḥajar and the One who has always been is magnified and sanctified. It is said that the House is the object of the circumambulation of bodily selves nufūs while the Real سبحانه is the object of the quest of hearts qulūb. The House consists of the remains and traces [of the past]. These are but relics and stones yet These traces of ours point to us. So after we [are gone] look to the traces. It is said that the House is stone but not all stone is alike. [It is] stone but it causes the hearts of the lovers to awaken muzʿij and the souls of the poor fuqarāÌ to leap munfij. Indeed for the hearts of some it is cooling and pleasant muthlij wa-mubhij and for the hearts of others [it is] stimulating and arousing munfij wa-muzʿij. [What people see in the House depends on the] different types [of people]: A House that is a place you go to seek out your loved ones and visit them mazār [or] where you hear news akhbār of them and see the traces āthār [of their having been there]. A House-whoever looks to it with the eye of separation returns with an innermost self laid waste kharāb. Whoever observes it with the eye of connection wins every approach and approval ījāb. As it is said: Truly houses even when they are silent have a pact with Our lovers since they stop at them. A House-whoever visits it with his bodily self finds His kindnesses and whoever visits it with his heart finds His unveilings. It is said that He said “and purify My House” [2:125 and 22:26] attrib- uting it to Himself.,{ إِنَّ أَوَّلَ بَيْتٍ وُضِعَ لِلنَّاسِ لَلَّذِي بِبَكَّةَ مُبَارَكاً وَهُدًى لِّلْعَالَمِينَ } * { فِيهِ ءَايَٰتٌ بَيِّنَـٰتٌ مَّقَامُ إِبْرَٰهِيمَ وَمَن دَخَلَهُ كَانَ آمِناً وَللَّهِ عَلَى ٱلنَّاسِ حِجُّ ٱلْبَيْتِ مَنِ ٱسْتَطَاعَ إِلَيْهِ سَبِيلاً وَمَن كَفَرَ فَإِنَّ ٱلله غَنِيٌّ عَنِ ٱلْعَٰلَمِينَ }
391,3,98,qushairi,The first house established for the people was that at Bakka a blessed place and a guidance to all the worlds. Therein are clear signs the station of Abraham; and whoever enters it is secure. It is the duty of people toward God to make the pilgrimage to the House if he is able to make his way there. As for the one who disbelieves God is independent of all the worlds. The House is a bit of stone ḥajara and the servant is a bit of mud madara. The bit of mud is bonded to the bit of stone rabaṬa al-madara bi-l-ḥajara so that mud madar is with stone ḥajar and the One who has always been is magnified and sanctified. It is said that the House is the object of the circumambulation of bodily selves nufūs while the Real سبحانه is the object of the quest of hearts qulūb. The House consists of the remains and traces [of the past]. These are but relics and stones yet These traces of ours point to us. So after we [are gone] look to the traces. It is said that the House is stone but not all stone is alike. [It is] stone but it causes the hearts of the lovers to awaken muzʿij and the souls of the poor fuqarāÌ to leap munfij. Indeed for the hearts of some it is cooling and pleasant muthlij wa-mubhij and for the hearts of others [it is] stimulating and arousing munfij wa-muzʿij. [What people see in the House depends on the] different types [of people]: A House that is a place you go to seek out your loved ones and visit them mazār [or] where you hear news akhbār of them and see the traces āthār [of their having been there]. A House-whoever looks to it with the eye of separation returns with an innermost self laid waste kharāb. Whoever observes it with the eye of connection wins every approach and approval ījāb. As it is said: Truly houses even when they are silent have a pact with Our lovers since they stop at them. A House-whoever visits it with his bodily self finds His kindnesses and whoever visits it with his heart finds His unveilings. It is said that He said “and purify My House” [2:125 and 22:26] attrib- uting it to Himself.,{ قُلْ يٰأَهْلَ ٱلْكِتَابِ لِمَ تَكْفُرُونَ بِآيَاتِ ٱللَّهِ وَٱللَّهُ شَهِيدٌ عَلَى مَا تَعْمَلُونَ }
392,3,99,qushairi,Say: “O people of the scripture why do you disbelieve in God's verses when God is witness of what you doḍ” The divine address in this verse is meant to confirm the obligation of the pilgrimage [for the people of the scripture]. With respect to the law the pilgrimage is obligatory for them166 but with respect to the true state of affairs ḥaqīqa and [divine] subjugation qahr the pilgrimage is barred to them. They are called by the law and command hum madʿuwūna sharʿan wa-amran but banished by the decree and the subjugation maṬrūdūna ḥukman wa-qahran.,{ قُلْ يٰأَهْلَ ٱلْكِتَابِ لِمَ تَصُدُّونَ عَن سَبِيلِ ٱللَّهِ مَنْ آمَنَ تَبْغُونَهَا عِوَجاً وَأَنْتُمْ شُهَدَآءُ وَمَا ٱللَّهُ بِغَافِلٍ عَمَّا تَعْمَلُونَ }
393,3,100,qushairi,Say: “O people of the scripture why do you bar believers from God's way desiring to make it crooked while you yourselves are witnesses. God is not heedless of what you do.” How can one who is barred himself bar anotherḍ Surely in this is a secret belonging to the [divine] Lordship.,{ يٰأَيُّهَا ٱلَّذِينَ آمَنُوۤاْ إِن تُطِيعُواْ فَرِيقاً مِّنَ ٱلَّذِينَ أُوتُواْ ٱلْكِتَابَ يَرُدُّوكُم بَعْدَ إِيمَانِكُمْ كَافِرِينَ }
394,3,101,qushairi,O you who believe if you obey a party of those who have been given the scripture they will turn you after you have believed into disbelievers. Estrangement is not restricted to just the estranged but also extends to anyone who becomes part of their circle. Whoever follows the enemy of God into this ruinous companionship will be cast down to the same level.,{ وَكَيْفَ تَكْفُرُونَ وَأَنْتُمْ تُتْلَىٰ عَلَيْكُمْ آيَاتُ ٱللَّهِ وَفِيكُمْ رَسُولُهُ وَمَن يَعْتَصِم بِٱللَّهِ فَقَدْ هُدِيَ إِلَىٰ صِرَاطٍ مُّسْتَقِيمٍ }
395,3,102,qushairi,How can you disbelieve while you have God's verses recited to you and His Messenger is in your midstḍ Whoever holds fast to God he is guided to a straight path. It is not right that the shade of disbelief should pass over one whose heart [has seen] the rising suns of deeper knowledge ʿirfān. For surely when day comes night slips away. Whoever holds fast to God: The one who holds fast to God has [in truth] only found the holding fast from God. How could those who have not been guided by God hold fast to Godḍ The guidance from Him in the beginning bidāya causes you [to] hold fast in the end nihāya. Your holding fast does not cause the guidance hidāya. The true state of affairs of holding fast is sincerity taking oneself to Him persevering in the flight to Him and continuing to appeal for His help. Whoever has the covering of sepa- ration removed from his innermost self realizes that there is not an atom that belongs to or comes from anything other than God. The people who hold fast to Him are those who are held fast by Him. The leader of those who come first and those who come last ﷺ said “I seek refuge in You from You.” Whoever holds fast to Him through himself -without being effaced from his own strength and power in his holding-his homeland is idolatry shirk but he is unaware.,{ يٰأَيُّهَا ٱلَّذِينَ آمَنُواْ ٱتَّقُواْ ٱللَّهَ حَقَّ تُقَاتِهِ وَلاَ تَمُوتُنَّ إِلاَّ وَأَنْتُمْ مُّسْلِمُونَ }
